model1,model2,media,monoculture growth model1,monoculture growth model2,coculture growth model1,coculture growth model2,community growth,MRO_model1,MRO_model2,CIP,MIP_model1 (costless),MIP_model2 (costless),BSS_model1,BSS_model2,PC_model1,PC_model2,PC_comm,BIT,GYD1,GYD2
RP1.genome.mdl,PR2.genome.mdl,M9_Galactose,30.863,0.0,28.39469283813312,18.777307161866887,47.172,78.261% (18/23),64.286% (18/28),5,0 (0),0 (0),64.286%,60.87%,0.92002,,1.5284,,1.0,
RP1.genome.mdl,PR2.genome.mdl,M9_Glycerol,26.628,21.813,26.151025944585708,12.14097405541429,38.292,78.261% (18/23),64.286% (18/28),7,0 (0),0 (0),64.286%,60.87%,0.98209,0.55659,0.79049,amensalism,0.18082,-0.22074
RP1.genome.mdl,PR2.genome.mdl,M9_Ribose,29.359,19.195,28.03768760205465,17.25131239794535,45.289,78.261% (18/23),64.286% (18/28),8,1 (1),1 (1),64.286%,60.87%,0.95499,0.89874,0.93276,amensalism,0.3462,-0.52951
RP1.genome.mdl,PR2.genome.mdl,M9_L-Arabinose,41.151,8.4801,31.30135524725088,21.342644752749116,52.644,78.261% (18/23),64.286% (18/28),6,0 (0),0 (0),64.286%,60.87%,0.76065,2.5168,1.0607,parasitism,0.79393,-3.8527
RP1.genome.mdl,PR2.genome.mdl,M9_Serine,22.464,18.77,30.790974791451408,6.326025208548588,37.117,78.261% (18/23),64.286% (18/28),6,1 (0),1 (0),64.286%,60.87%,1.3707,0.33703,0.90016,parasitism,0.16444,-0.1968
RP1.genome.mdl,PR2.genome.mdl,M9_Xylose,0.41007,0.0,0.3975088204021166,0.1284011795978833,0.52591,78.261% (18/23),64.286% (18/28),4,0 (0),0 (0),64.286%,60.87%,0.96937,,1.2825,,1.0,
RP1.genome.mdl,PR2.genome.mdl,M9_Lactose,41.065,0.0,57.32815371595381,9.810846284046178,67.139,78.261% (18/23),64.286% (18/28),5,0 (0),0 (0),64.286%,60.87%,1.396,,1.6349,,1.0,
RP1.genome.mdl,PR2.genome.mdl,M9_Maltose,51.758,32.621,61.63573836216873,16.866261637831265,78.502,78.261% (18/23),64.286% (18/28),11,1 (1),0 (0),64.286%,60.87%,1.1908,0.51704,0.93035,parasitism,0.36974,-0.58665
RP1.genome.mdl,PR2.genome.mdl,M9_Melezitose,0.41007,0.0,0.3975088204021166,0.1284011795978833,0.52591,78.261% (18/23),64.286% (18/28),4,0 (0),0 (0),64.286%,60.87%,0.96937,,1.2825,,1.0,
RP1.genome.mdl,PR2.genome.mdl,M9_Mix,69.942,51.305,90.87884960202156,18.031150397978426,108.91,78.261% (18/23),64.286% (18/28),15,0 (0),3 (3),64.286%,60.87%,1.2993,0.35145,0.89825,parasitism,0.26646,-0.36326
RP1.genome.mdl,PR2.genome.mdl,M9_No_Glucose,0.41007,0.0,0.3975088204021166,0.1284011795978833,0.52591,78.261% (18/23),64.286% (18/28),4,0 (0),0 (0),64.286%,60.87%,0.96937,,1.2825,,1.0,
RP1.genome.mdl,PR2.genome.mdl,M9_Pyruvate,22.201,16.596,30.35958739848981,6.325412601510191,36.685,78.261% (18/23),64.286% (18/28),5,0 (0),1 (0),64.286%,60.87%,1.3675,0.38114,0.94556,parasitism,0.25247,-0.33773
RP1.genome.mdl,PR2.genome.mdl,M9_Rhamnose,31.675,0.0,43.71231574432797,5.278684255672026,48.991,78.261% (18/23),64.286% (18/28),5,0 (0),0 (0),64.286%,60.87%,1.38,,1.5467,,1.0,
RP1.genome.mdl,PR2.genome.mdl,M9_Sorbitol,38.309,0.0,31.632465838400197,16.3505341615998,47.983,78.261% (18/23),64.286% (18/28),7,0 (0),0 (0),64.286%,60.87%,0.82572,,1.2525,,1.0,
RP1.genome.mdl,PR2.genome.mdl,M9_Succinate,32.683,23.592,40.9112329296495,5.099767070350503,46.011,78.261% (18/23),64.286% (18/28),6,2 (0),1 (0),64.286%,60.87%,1.2518,0.21617,0.81761,parasitism,0.27816,-0.38534
RP1.genome.mdl,PR2.genome.mdl,M9_Sucrose,0.41007,18.384,21.756333745264214,1.8366662547357804,23.593,78.261% (18/23),64.286% (18/28),6,0 (0),0 (0),64.286%,60.87%,53.055,0.099906,1.2553,parasitism,-43.831,0.97769
RP1.genome.mdl,PR2.genome.mdl,M9_Trehalose,51.758,32.621,61.63573836308139,16.866261636918594,78.502,78.261% (18/23),64.286% (18/28),13,0 (0),0 (0),64.286%,60.87%,1.1908,0.51704,0.93035,parasitism,0.36974,-0.58665
RP1.genome.mdl,PR2.genome.mdl,M9_Uridine,41.592,0.0,53.89363311161265,9.785366888387346,63.679,78.261% (18/23),64.286% (18/28),6,0 (0),0 (0),64.286%,60.87%,1.2958,,1.531,,1.0,
RP1.genome.mdl,PR2.genome.mdl,M9_Water,0.41007,0.0,0.3975088204021166,0.1284011795978833,0.52591,78.261% (18/23),64.286% (18/28),4,0 (0),0 (0),64.286%,60.87%,0.96937,,1.2825,,1.0,
RP1.genome.mdl,SF.genome.mdl,M9_Alanine,22.201,22.113,29.33090048750978,4.101099512490222,33.432,91.304% (21/23),91.304% (21/23),6,0 (0),0 (0),60.87%,60.87%,1.3212,0.18546,0.75443,parasitism,0.0039638,-0.0039796
RP1.genome.mdl,SF.genome.mdl,M9_Arginine,18.31,18.18,25.47815999989456,4.351840000105439,29.83,91.304% (21/23),91.304% (21/23),5,0 (0),1 (0),60.87%,60.87%,1.3915,0.23938,0.81748,parasitism,0.0070999,-0.0071507
RP1.genome.mdl,SF.genome.mdl,M9_Fructose,43.208,41.17,47.6411893161936,7.031810683806406,54.673,91.304% (21/23),91.304% (21/23),8,0 (0),0 (0),60.87%,60.87%,1.1026,0.1708,0.64795,parasitism,0.047167,-0.049502
RP1.genome.mdl,SF.genome.mdl,M9_GlcNAc,40.185,39.78,53.70833799776323,8.131662002236768,61.84,91.304% (21/23),91.304% (21/23),8,0 (0),0 (0),60.87%,60.87%,1.3365,0.20442,0.77334,parasitism,0.010078,-0.010181
RP1.genome.mdl,SF.genome.mdl,M9_Acetate,11.1,11.057,18.105020520743626,4.182979479256378,22.288,91.304% (21/23),91.304% (21/23),3,4 (0),0 (0),60.87%,60.87%,1.6311,0.37831,1.0059,parasitism,0.0038739,-0.0038889
RP1.genome.mdl,SF.genome.mdl,M9_Cellobiose,51.758,60.573,71.65841771792263,9.859582282077367,81.518,91.304% (21/23),91.304% (21/23),8,1 (1),0 (0),60.87%,60.87%,1.3845,0.16277,0.72569,parasitism,-0.17031,0.14553
RP1.genome.mdl,SF.genome.mdl,M9_Citrate,33.566,33.433,40.37200215159218,4.5599978484078205,44.932,91.304% (21/23),91.304% (21/23),8,1 (0),1 (0),60.87%,60.87%,1.2028,0.13639,0.67064,parasitism,0.0039623,-0.0039781
RP1.genome.mdl,SF.genome.mdl,M9_Glucose,43.208,44.536,47.64118931619357,7.031810683806431,54.673,91.304% (21/23),91.304% (21/23),9,2 (0),1 (0),60.87%,60.87%,1.1026,0.15789,0.6231,parasitism,-0.030735,0.029819
RP1.genome.mdl,SF.genome.mdl,M9_Glutamine,22.429,22.339,30.239943791580544,3.537056208419457,33.777,91.304% (21/23),91.304% (21/23),4,4 (0),2 (0),60.87%,60.87%,1.3483,0.15834,0.75449,parasitism,0.0040127,-0.0040288
RP1.genome.mdl,SF.genome.mdl,M9_Mannitol,38.309,36.382,38.54853508230487,4.779464917695134,43.328,91.304% (21/23),91.304% (21/23),8,1 (0),1 (0),60.87%,60.87%,1.0063,0.13137,0.5801,amensalism,0.050301,-0.052966
RP1.genome.mdl,SF.genome.mdl,M9_Mannose,43.208,44.536,47.64118931619359,7.031810683806415,54.673,91.304% (21/23),91.304% (21/23),9,4 (0),0 (0),60.87%,60.87%,1.1026,0.15789,0.6231,parasitism,-0.030735,0.029819
RP1.genome.mdl,SF.genome.mdl,M9_Proline,24.593,24.486,32.81344318653943,4.237556813460573,37.051,91.304% (21/23),91.304% (21/23),6,1 (1),0 (0),60.87%,60.87%,1.3343,0.17306,0.75493,parasitism,0.0043508,-0.0043698
RP1.genome.mdl,SF.genome.mdl,M9_Fumarate,32.683,32.556,38.07794601755664,4.424053982443366,42.502,91.304% (21/23),91.304% (21/23),4,3 (0),2 (0),60.87%,60.87%,1.1651,0.13589,0.65148,parasitism,0.0038858,-0.003901
RP1.genome.mdl,SF.genome.mdl,M9_Galactose,30.863,32.935,39.172751745887,8.171248254113001,47.344,91.304% (21/23),91.304% (21/23),7,2 (0),0 (0),60.87%,60.87%,1.2692,0.2481,0.74209,parasitism,-0.067135,0.062912
RP1.genome.mdl,SF.genome.mdl,M9_Glycerol,26.628,26.587,26.525589077804923,0.1434109221950786,26.669,91.304% (21/23),91.304% (21/23),5,2 (0),3 (0),60.87%,60.87%,0.99615,0.005394,0.50116,amensalism,0.0015397,-0.0015421
RP1.genome.mdl,SF.genome.mdl,M9_Ribose,29.359,31.123,37.89586762721342,6.8501323727865815,44.746,91.304% (21/23),91.304% (21/23),8,0 (0),0 (0),60.87%,60.87%,1.2908,0.2201,0.73982,parasitism,-0.060084,0.056678
RP1.genome.mdl,SF.genome.mdl,M9_L-Arabinose,41.151,41.717,44.20351076625742,5.655489233742577,49.859,91.304% (21/23),91.304% (21/23),8,0 (0),0 (0),60.87%,60.87%,1.0742,0.13557,0.60167,amensalism,-0.013754,0.013568
RP1.genome.mdl,SF.genome.mdl,M9_Serine,22.464,22.374,29.698031707475256,4.131968292524738,33.83,91.304% (21/23),91.304% (21/23),5,0 (0),0 (0),60.87%,60.87%,1.322,0.18468,0.75449,parasitism,0.0040064,-0.0040225
RP1.genome.mdl,SF.genome.mdl,M9_Lactose,41.065,47.511,60.45824296045564,9.99475703954436,70.453,91.304% (21/23),91.304% (21/23),8,0 (0),0 (0),60.87%,60.87%,1.4723,0.21037,0.7954,parasitism,-0.15697,0.13567
PK,PR1,M9_Alanine,5.1835,5.0541,9.7712,0.46877,10.24,96.875% (31/32),96.875% (31/32),4,2 (0),0 (0),62.5%,62.5%,1.8851,0.09275,1.0002,parasitism,0.024964,-0.025603
PK,PR1,M9_Arginine,13.811,18.506,30.709,5.4594,36.168,96.875% (31/32),96.875% (31/32),10,1 (1),1 (1),62.5%,62.5%,2.2235,0.29501,1.1192,parasitism,-0.33995,0.2537
PK,PR1,M9_Fructose,30.964,29.478,37.12,7.333,44.453,96.875% (31/32),96.875% (31/32),8,0 (0),0 (0),62.5%,62.5%,1.1988,0.24876,0.73547,parasitism,0.047991,-0.05041
PK,PR1,M9_GlcNAc,30.081,28.997,36.683,6.2831,42.966,96.875% (31/32),96.875% (31/32),14,0 (0),0 (0),62.5%,62.5%,1.2195,0.21668,0.72728,parasitism,0.036036,-0.037383
PK,PR1,M9_Acetate,7.6402,7.6267,11.643,3.6296,15.273,96.875% (31/32),96.875% (31/32),3,3 (0),1 (0),62.5%,62.5%,1.524,0.47591,1.0004,parasitism,0.001767,-0.0017701
PK,PR1,M9_Citrate,21.434,20.233,23.854,6.402,30.256,96.875% (31/32),96.875% (31/32),6,2 (0),1 (0),62.5%,62.5%,1.1129,0.31642,0.72614,parasitism,0.056032,-0.059358
PK,PR1,M9_Glucose,27.994,26.457,28.491,5.4994,33.99,96.875% (31/32),96.875% (31/32),8,0 (0),0 (0),62.5%,62.5%,1.0177,0.20786,0.62423,amensalism,0.054905,-0.058094
PK,PR1,M9_Glutamine,19.13,18.317,26.909,3.7814,30.69,96.875% (31/32),96.875% (31/32),6,1 (0),1 (0),62.5%,62.5%,1.4066,0.20644,0.81956,parasitism,0.042499,-0.044385
PK,PR1,M9_Isoleucine,0.088541,13.287,19.699,6.4398,26.139,96.875% (31/32),96.875% (31/32),7,0 (0),0 (0),62.5%,62.5%,222.49,0.48467,1.9542,parasitism,-149.07,0.99334
PK,PR1,M9_Mannitol,0.085579,10.941,10.875,0.19736,11.072,96.875% (31/32),96.875% (31/32),4,0 (0),0 (0),62.5%,62.5%,127.07,0.018038,1.0041,parasitism,-126.85,0.99218
PK,PR1,M9_Mannose,27.994,26.457,28.491,5.4994,33.99,96.875% (31/32),96.875% (31/32),9,0 (0),0 (0),62.5%,62.5%,1.0177,0.20786,0.62423,amensalism,0.054905,-0.058094
PK,PR1,M9_Proline,23.891,24.0,31.043,4.8927,35.936,96.875% (31/32),96.875% (31/32),7,0 (0),0 (0),62.5%,62.5%,1.2994,0.20386,0.75037,parasitism,-0.0045624,0.0045417
PK,PR1,M9_Fumarate,23.383,23.487,25.268,4.8339,30.102,96.875% (31/32),96.875% (31/32),6,1 (0),1 (0),62.5%,62.5%,1.0806,0.20581,0.64224,amensalism,-0.0044477,0.004428
PK,PR1,M9_Galactose,8.9939,10.474,18.235,1.2841,19.519,96.875% (31/32),96.875% (31/32),4,0 (0),0 (0),62.5%,62.5%,2.0275,0.1226,1.0026,parasitism,-0.16457,0.14131
PK,PR1,M9_Glycerol,16.487,21.641,22.746,4.6559,27.402,96.875% (31/32),96.875% (31/32),7,0 (0),0 (0),62.5%,62.5%,1.3796,0.21514,0.71868,parasitism,-0.31261,0.23816
PK,PR1,M9_Ribose,20.447,16.65,24.157,5.8176,29.975,96.875% (31/32),96.875% (31/32),5,0 (0),0 (0),62.5%,62.5%,1.1815,0.34941,0.80802,parasitism,0.1857,-0.22805
PK,PR1,M9_L-Arabinose,0.085579,8.3748,8.229,0.26797,8.497,96.875% (31/32),96.875% (31/32),4,0 (0),1 (0),62.5%,62.5%,96.157,0.031997,1.0043,parasitism,-96.86,0.98978
PK,PR1,M9_Serine,21.638,18.556,25.53,5.4484,30.978,96.875% (31/32),96.875% (31/32),6,2 (0),1 (0),62.5%,62.5%,1.1799,0.29362,0.77071,parasitism,0.14243,-0.16609
PK,PR1,M9_Maltose,32.432,29.591,38.292,7.4549,45.747,96.875% (31/32),96.875% (31/32),12,0 (0),0 (0),62.5%,62.5%,1.1807,0.25193,0.73758,parasitism,0.087599,-0.096009
PK,PR1,M9_Mix,38.351,38.307,10.004,53.913,63.917,96.875% (31/32),96.875% (31/32),15,1 (0),0 (0),62.5%,62.5%,0.26084,1.4074,0.83379,parasitism,0.0011473,-0.0011486
PK,PR1,M9_Pyruvate,21.29,16.383,24.289,4.8098,29.099,96.875% (31/32),96.875% (31/32),5,1 (0),1 (0),62.5%,62.5%,1.1409,0.29359,0.77241,parasitism,0.23048,-0.29952
PK,PR1,M9_Succinate,23.383,23.487,30.348,4.8219,35.17,96.875% (31/32),96.875% (31/32),7,1 (0),1 (0),62.5%,62.5%,1.2979,0.2053,0.75037,parasitism,-0.0044477,0.004428
PK,PR1,M9_Trehalose,0.085579,29.591,38.292,7.4549,45.747,96.875% (31/32),96.875% (31/32),13,0 (0),1 (1),62.5%,62.5%,447.45,0.25193,1.5415,parasitism,-344.77,0.99711
PAg3,PH,M9_Alanine,5.2397,3.2814e-14,5.2115,0.028304,5.2398,70.000% (21/30),70.000% (21/30),22,1 (0),1 (0),63.333%,66.667%,0.99462,862540000000.0,1.0,,1.0,-159680000000000.0
PAg3,PH,M9_Arginine,15.33,16.642,25.212,4.4167,29.629,70.000% (21/30),70.000% (21/30),6,1 (0),1 (0),63.333%,66.667%,1.6446,0.26539,0.92672,parasitism,-0.085584,0.078837
PAg3,PH,M9_Fructose,37.537,29.503,40.626,14.658,55.284,70.000% (21/30),70.000% (21/30),8,0 (0),0 (0),63.333%,66.667%,1.0823,0.49684,0.82464,amensalism,0.21403,-0.27231
PAg3,PH,M9_GlcNAc,36.577,26.912,48.773,10.06,58.833,70.000% (21/30),70.000% (21/30),11,0 (0),0 (0),63.333%,66.667%,1.3334,0.3738,0.92666,parasitism,0.26424,-0.35913
PAg3,PH,M9_Acetate,14.818,7.643,21.215,4.5277,25.743,70.000% (21/30),70.000% (21/30),4,0 (0),0 (0),63.333%,66.667%,1.4317,0.5924,1.1461,parasitism,0.48421,-0.93877
PAg3,PH,M9_Cellobiose,38.862,0.0,57.693,17.183,74.876,70.000% (21/30),70.000% (21/30),7,1 (1),0 (0),63.333%,66.667%,1.4846,,1.9267,,1.0,
PAg3,PH,M9_Citrate,34.697,20.245,40.063,4.948,45.011,70.000% (21/30),70.000% (21/30),7,1 (0),0 (0),63.333%,66.667%,1.1547,0.2444,0.81925,parasitism,0.41652,-0.71386
PAg3,PH,M9_Glucose,38.862,26.545,40.585,14.699,55.284,70.000% (21/30),70.000% (21/30),10,0 (0),0 (0),63.333%,66.667%,1.0443,0.55375,0.84523,amensalism,0.31694,-0.464
PAg3,PH,M9_Glutamine,24.602,18.332,33.615,4.5628,38.178,70.000% (21/30),70.000% (21/30),7,1 (0),0 (0),63.333%,66.667%,1.3664,0.2489,0.88923,parasitism,0.25486,-0.34202
PAg3,PH,M9_Isoleucine,0.0,11.729,10.719,1.3177,12.037,70.000% (21/30),70.000% (21/30),3,0 (0),0 (0),63.333%,66.667%,,0.11235,1.0263,,,1.0
PAg3,PH,M9_Mannitol,33.319,10.968,31.947,14.327,46.274,70.000% (21/30),70.000% (21/30),8,0 (0),0 (0),63.333%,66.667%,0.95883,1.3062,1.0449,commensalism,0.67082,-2.0378
PAg3,PH,M9_Mannose,38.862,26.545,40.585,14.699,55.284,70.000% (21/30),70.000% (21/30),10,0 (0),0 (0),63.333%,66.667%,1.0443,0.55375,0.84523,amensalism,0.31694,-0.464
PAg3,PH,M9_Proline,24.613,24.001,34.938,7.843,42.781,70.000% (21/30),70.000% (21/30),8,0 (0),0 (0),63.333%,66.667%,1.4195,0.32678,0.88001,parasitism,0.024865,-0.025499
PAg3,PH,M9_Fumarate,34.498,23.502,38.898,5.0249,43.923,70.000% (21/30),70.000% (21/30),6,1 (0),1 (0),63.333%,66.667%,1.1275,0.21381,0.75729,parasitism,0.31874,-0.46788
PAg3,PH,M9_Galactose,38.862,10.188,41.172,13.332,54.504,70.000% (21/30),70.000% (21/30),7,1 (0),0 (0),63.333%,66.667%,1.0594,1.3086,1.1112,commensalism,0.73784,-2.8145
PAg3,PH,M9_Glycerol,27.171,22.039,19.398,16.235,35.633,70.000% (21/30),70.000% (21/30),7,1 (0),0 (0),63.333%,66.667%,0.71391,0.73666,0.7241,competitive,0.18888,-0.23286
PAg3,PH,M9_Ribose,37.366,16.664,37.884,14.46,52.344,70.000% (21/30),70.000% (21/30),8,0 (0),0 (0),63.333%,66.667%,1.0139,0.86771,0.9688,amensalism,0.55403,-1.2423
PAg3,PH,M9_L-Arabinose,37.096,0.0,37.119,14.528,51.647,70.000% (21/30),70.000% (21/30),8,0 (0),0 (0),63.333%,66.667%,1.0006,,1.3923,,1.0,
PAg3,PH,M9_Serine,26.148,18.581,32.682,4.5274,37.209,70.000% (21/30),70.000% (21/30),8,0 (0),0 (0),63.333%,66.667%,1.2499,0.24366,0.83188,parasitism,0.28939,-0.40724
PAg3,PH,M9_Maltose,38.862,26.955,57.693,17.183,74.876,70.000% (21/30),70.000% (21/30),12,1 (1),0 (0),63.333%,66.667%,1.4846,0.63747,1.1376,parasitism,0.30639,-0.44174
PAg3,PH,M9_Mix,54.9,38.48,68.084,19.618,87.702,70.000% (21/30),70.000% (21/30),13,1 (0),3 (1),63.333%,66.667%,1.2401,0.50982,0.93919,parasitism,0.29909,-0.42672
PAg3,PH,M9_Pyruvate,25.819,16.396,32.28,4.4961,36.776,70.000% (21/30),70.000% (21/30),6,2 (1),0 (0),63.333%,66.667%,1.2502,0.27422,0.87116,parasitism,0.36496,-0.57471
PAg3,PH,M9_Rhamnose,30.443,0.0,42.659,5.4213,48.08,70.000% (21/30),70.000% (21/30),7,0 (0),0 (0),63.333%,66.667%,1.4013,,1.5793,,1.0,
PAg3,PH,M9_Succinate,34.498,23.502,41.075,5.0193,46.094,70.000% (21/30),70.000% (21/30),7,0 (0),1 (0),63.333%,66.667%,1.1906,0.21357,0.79472,parasitism,0.31874,-0.46788
PAg3,PH,M9_Sucrose,21.17,17.364,33.308,8.7734,42.081,70.000% (21/30),70.000% (21/30),5,0 (0),0 (0),63.333%,66.667%,1.5733,0.50527,1.092,parasitism,0.17978,-0.21919
PAg3,PH,M9_Trehalose,38.862,0.0,57.693,17.183,74.876,70.000% (21/30),70.000% (21/30),6,0 (0),0 (0),63.333%,66.667%,1.4846,,1.9267,,1.0,
PR1,PR2,M9_Alanine,5.0541,5.0785,9.9746,0.17942,10.154,87.500% (28/32),100.000% (28/28),3,1 (0),2 (0),60.714%,65.625%,1.9736,0.03533,1.0021,parasitism,-0.0048278,0.0048046
PR1,PR2,M9_Arginine,18.506,24.305,31.54,4.7135,36.253,87.500% (28/32),100.000% (28/28),7,0 (0),2 (1),60.714%,65.625%,1.7043,0.19393,0.84682,parasitism,-0.31336,0.23859
PR1,PR2,M9_Fructose,29.478,29.625,37.017,4.6739,41.691,87.500% (28/32),100.000% (28/28),9,0 (0),0 (0),60.714%,65.625%,1.2558,0.15777,0.7054,parasitism,-0.0049868,0.004962
PR1,PR2,M9_GlcNAc,28.997,33.25,41.397,4.2876,45.685,87.500% (28/32),100.000% (28/28),9,0 (0),0 (0),60.714%,65.625%,1.4276,0.12895,0.73393,parasitism,-0.14667,0.12791
PR1,PR2,M9_Acetate,7.6267,7.7059,11.781,3.6197,15.401,87.500% (28/32),100.000% (28/28),2,1 (0),1 (0),60.714%,65.625%,1.5447,0.46973,1.0045,parasitism,-0.010385,0.010278
PR1,PR2,M9_Citrate,20.233,20.406,23.706,4.7902,28.496,87.500% (28/32),100.000% (28/28),5,0 (0),0 (0),60.714%,65.625%,1.1716,0.23474,0.7012,parasitism,-0.0085504,0.0084779
PR1,PR2,M9_Glucose,26.457,30.366,30.505,3.4946,34.0,87.500% (28/32),100.000% (28/28),8,0 (0),0 (0),60.714%,65.625%,1.153,0.11508,0.59835,parasitism,-0.14775,0.12873
PR1,PR2,M9_Glutamine,18.317,18.517,27.218,3.6357,30.854,87.500% (28/32),100.000% (28/28),6,1 (0),1 (0),60.714%,65.625%,1.486,0.19635,0.83765,parasitism,-0.010919,0.010801
PR1,PR2,M9_Isoleucine,13.287,13.451,20.559,4.4938,25.053,87.500% (28/32),100.000% (28/28),6,1 (1),1 (1),60.714%,65.625%,1.5473,0.33409,0.93698,parasitism,-0.012343,0.012192
PR1,PR2,M9_Mannitol,10.941,0.0,10.541,0.59691,11.138,87.500% (28/32),100.000% (28/28),3,0 (0),0 (0),60.714%,65.625%,0.96345,,1.018,,1.0,
PR1,PR2,M9_Mannose,26.457,30.366,30.505,3.4946,34.0,87.500% (28/32),100.000% (28/28),7,0 (0),0 (0),60.714%,65.625%,1.153,0.11508,0.59835,parasitism,-0.14775,0.12873
PR1,PR2,M9_Proline,24.0,24.095,31.333,4.696,36.029,87.500% (28/32),100.000% (28/28),9,1 (1),1 (1),60.714%,65.625%,1.3055,0.1949,0.74912,parasitism,-0.0039583,0.0039427
PR1,PR2,M9_Fumarate,23.487,23.592,25.385,4.6426,30.028,87.500% (28/32),100.000% (28/28),5,0 (0),0 (0),60.714%,65.625%,1.0808,0.19679,0.63782,amensalism,-0.0044706,0.0044507
PR1,PR2,M9_Galactose,10.474,0.0,10.052,0.61958,10.672,87.500% (28/32),100.000% (28/28),3,0 (0),0 (0),60.714%,65.625%,0.95975,,1.0189,,1.0,
PR1,PR2,M9_Glycerol,21.641,21.813,23.741,2.399,26.14,87.500% (28/32),100.000% (28/28),7,0 (0),0 (0),60.714%,65.625%,1.097,0.10998,0.60156,amensalism,-0.0079479,0.0078852
PR1,PR2,M9_Ribose,16.65,19.195,26.153,4.2346,30.388,87.500% (28/32),100.000% (28/28),7,0 (0),0 (0),60.714%,65.625%,1.5708,0.22061,0.84776,parasitism,-0.15285,0.13259
PR1,PR2,M9_L-Arabinose,8.3748,8.4801,15.97,0.98879,16.959,87.500% (28/32),100.000% (28/28),3,0 (0),0 (0),60.714%,65.625%,1.9069,0.1166,1.0062,parasitism,-0.012573,0.012417
PR1,PR2,M9_Serine,18.556,18.77,26.218,4.8947,31.113,87.500% (28/32),100.000% (28/28),6,1 (0),3 (0),60.714%,65.625%,1.4129,0.26077,0.83355,parasitism,-0.011533,0.011401
PR1,PR2,M9_Maltose,29.591,32.621,40.955,6.1747,47.13,87.500% (28/32),100.000% (28/28),12,0 (0),1 (1),60.714%,65.625%,1.384,0.18929,0.75757,parasitism,-0.1024,0.092885
PR1,PR2,M9_Mix,38.307,51.305,64.593,12.206,76.799,87.500% (28/32),100.000% (28/28),14,2 (1),2 (1),60.714%,65.625%,1.6862,0.23791,0.85702,parasitism,-0.33931,0.25335
PR1,PR2,M9_Pyruvate,16.383,16.596,24.496,4.5412,29.037,87.500% (28/32),100.000% (28/28),5,1 (0),1 (0),60.714%,65.625%,1.4952,0.27363,0.88047,parasitism,-0.013001,0.012834
PR1,PR2,M9_Succinate,23.487,23.592,30.669,4.7139,35.383,87.500% (28/32),100.000% (28/28),7,0 (0),0 (0),60.714%,65.625%,1.3058,0.19981,0.75157,parasitism,-0.0044706,0.0044507
PR1,PR2,M9_Sucrose,0.0,18.384,20.306,1.2446,21.551,87.500% (28/32),100.000% (28/28),4,0 (0),0 (0),60.714%,65.625%,,0.067702,1.1723,,,1.0
PR1,PR2,M9_Trehalose,29.591,32.621,40.955,6.1747,47.13,87.500% (28/32),100.000% (28/28),12,1 (1),0 (0),60.714%,65.625%,1.384,0.18929,0.75757,parasitism,-0.1024,0.092885
PAr,PP,M9_Alanine,5.0782,16.541,24.356,4.6402,28.996,92.857% (26/28),92.857% (26/28),6,1 (0),1 (0),64.286%,60.714%,4.7962,0.28053,1.3412,parasitism,-2.2573,0.69299
PAr,PP,M9_Arginine,16.845,16.79,22.899,4.0731,26.972,92.857% (26/28),92.857% (26/28),5,0 (0),3 (0),64.286%,60.714%,1.3594,0.24259,0.8019,parasitism,0.0032651,-0.0032758
PAr,PP,M9_Fructose,29.621,29.523,36.949,6.5331,43.482,92.857% (26/28),92.857% (26/28),9,0 (0),0 (0),64.286%,60.714%,1.2474,0.22129,0.73519,parasitism,0.0033085,-0.0033194
PAr,PP,M9_GlcNAc,33.245,0.0,41.367,6.0674,47.434,92.857% (26/28),92.857% (26/28),9,0 (0),0 (0),64.286%,60.714%,1.2443,,1.4268,,1.0,
PAr,PP,M9_Acetate,7.7051,7.6789,11.838,3.5472,15.385,92.857% (26/28),92.857% (26/28),4,1 (0),1 (0),64.286%,60.714%,1.5364,0.46194,1.0001,parasitism,0.0034003,-0.0034119
PAr,PP,M9_Citrate,20.404,20.337,23.812,4.7413,28.553,92.857% (26/28),92.857% (26/28),7,0 (0),3 (0),64.286%,60.714%,1.167,0.23314,0.70084,parasitism,0.0032837,-0.0032945
PAr,PP,M9_Glucose,30.44,30.346,33.195,5.9863,39.181,92.857% (26/28),92.857% (26/28),6,1 (0),0 (0),64.286%,60.714%,1.0905,0.19727,0.64457,amensalism,0.003088,-0.0030976
PAr,PP,M9_Glutamine,18.515,8.2462,27.16,4.8835,32.044,92.857% (26/28),92.857% (26/28),6,0 (0),2 (0),64.286%,60.714%,1.4669,0.59222,1.1974,parasitism,0.55462,-1.2453
PAr,PP,M9_Isoleucine,13.449,13.405,20.538,4.4829,25.021,92.857% (26/28),92.857% (26/28),6,1 (1),2 (1),64.286%,60.714%,1.5271,0.33442,0.93174,parasitism,0.0032716,-0.0032824
PAr,PP,M9_Mannitol,11.141,0.0,11.133,9.8888e-11,11.133,92.857% (26/28),92.857% (26/28),3,0 (0),0 (0),64.286%,60.714%,0.99928,,0.99928,,1.0,
PAr,PP,M9_Mannose,30.44,30.346,33.195,5.9863,39.181,92.857% (26/28),92.857% (26/28),6,0 (0),0 (0),64.286%,60.714%,1.0905,0.19727,0.64457,amensalism,0.003088,-0.0030976
